id,rsi,macd,sma20,sma50,volatility
1255,,0.0,,,
1254,,-0.5879202279202218,,,
1253,,0.6190131573607687,,,
1252,,1.2640007024400006,,,
1251,,2.3899140132293155,,,
1250,,2.6871975015886846,,,
1249,,6.072394565100012,,,
1248,,11.25119688477298,,,
1247,,14.9578802191632,,,
1246,,17.48889559261238,,,
1245,,24.916455835712327,,,
1244,,28.241336871352303,,,
1243,,24.826342390769867,,,
1242,,22.353667599535584,,,
1241,58.9192945302935,20.030817918659352,,,
1240,57.29823658128459,16.712678505794372,,,
1239,58.26256526388627,16.15615698852639,,,
1238,58.376402369847476,15.291917543504212,,,
1237,53.29645552114962,12.584243704315782,,,
1236,55.45948542435978,10.91373863139819,386.7935,,
1235,53.939770257683946,11.786776096988149,390.59450000000004,,1.1331851537637037
1234,46.06701249551401,10.984320822484676,393.9165,,1.1429734315327378
1233,47.00146747105821,10.464171296050552,396.344,,1.1265562828478501
1232,47.81105239120506,10.13124307680954,399.077,,1.1242950369302303
1231,29.861740260763398,8.312666915560214,400.508,,1.1395534492709525
1230,31.894484412470035,5.873353206141928,401.712,,1.1433023780847607
1229,47.49216300940439,4.373909665074734,401.221,,1.0693898683427616
1228,49.587559915282576,4.206266894551106,399.7655,,1.0322388357305534
1227,52.12398921832886,4.642828633946635,398.8355,,1.0347864043455963
1226,61.35616583607252,6.450814855593308,398.9845,,1.0484046407814456
1225,59.5751760856303,9.364526968215614,396.5805,,0.8594797360052783
1224,56.31750026213693,10.46450623630193,394.8875,,0.842706400082742
1223,70.04838146540975,13.841133796924453,398.41700000000003,,0.6673911405715239
1222,66.63493336005611,15.807196600296265,401.31499999999994,,0.6720439585570205
1221,51.95427544551491,14.801380316894722,402.812,,0.7206890269144776
1220,58.56194805873438,14.482049834834925,405.5045,,0.7016157877193617
1219,59.37291869460525,14.605286068721568,407.1345,,0.656419119198056
1218,60.14073887911534,15.029185840926573,409.227,,0.6555586202044915
1217,62.49020734318692,14.344444228370037,411.953,,0.6214574385749237
1216,64.1005035894139,13.108427931029553,413.9705,,0.624877961583794
1215,64.9840622877149,12.84501427435498,415.078,,0.5739082939778949
1214,63.73917748917749,13.025131617138754,417.367,,0.5505170639236423
1213,64.9088814411395,14.12505111228677,420.20349999999996,,0.5578836391872691
1212,53.42193706080049,12.874617085838224,421.6955,,0.5985939169414708
1211,43.042577907975144,10.049067725106909,423.02650000000006,,0.6035412786079043
1210,40.749772868550664,5.7560126108575105,423.70250000000004,,0.6347973479225464
1209,28.773012898247146,1.903322562817607,423.813,,0.6351876164987059
1208,32.161026321610265,-0.6614154812344282,423.559,,0.6250027426982631
1207,29.833290587330083,-6.1549120629705385,420.7305,,0.7385468502872844
1206,24.810840215617446,-11.605316369880882,416.1875,399.9704,0.7208876942885302
1205,24.631933772864755,-15.243150896720863,410.97349999999994,399.89520000000005,0.6972214225425143
1204,19.31359055188034,-20.288028079894957,404.9495,399.3736,0.7467199329425597
1203,22.7648147312362,-23.4557463507021,397.62149999999997,398.5744,0.6774685689341159
1202,23.00045599635206,-26.02526070702453,390.398,397.7598,0.677465489661214
1201,19.1206054219753,-27.726672117738417,384.66700000000003,396.78979999999996,0.6561981094349734
1200,18.86801518281844,-28.26268764330922,378.838,396.0802,0.6567031193821325
1199,17.476297527123464,-27.533324449459485,373.19,394.78,0.6704022887019091
1198,24.215387845071916,-25.820081782489353,367.7515,393.0366,0.6834360195291138
1197,26.08105816516874,-24.79540354731347,362.45950000000005,391.19559999999996,0.6832444733478299
1196,34.84746178871771,-22.862047054827315,358.035,389.61799999999994,0.702230031086358
1195,35.7426178933451,-21.18489257148542,353.0135,386.6008,0.6899589686646794
1194,33.10744770965009,-19.677322619334518,347.62800000000004,384.12579999999997,0.6835302097644134
1193,49.3462927920179,-17.74863023381073,341.87649999999996,383.2106,0.6745707371989265
1192,50.306909856190835,-17.0747130630009,336.6965,381.91299999999995,0.6645167918485165
1191,56.670999311874,-14.515778378599975,333.7325,381.1086,0.7114972024641391
1190,70.64430041936716,-12.65022239078047,331.809,380.54619999999994,0.6833599245947268
1189,65.32477635161416,-11.43213468077056,329.908,379.3266,0.6834038570410724
1188,70.39742008915869,-9.78591627913005,328.06100000000004,378.309,0.6855434724297579
1187,68.57804539138488,-8.600805949877497,328.267,377.7026,0.550770943051652
1186,61.84066933430339,-8.215653344908901,328.8335,376.7864,0.532029756199962
1185,62.218620565460114,-6.905284171843391,329.65999999999997,375.5214000000001,0.5408014884274568
1184,56.78916827853,-6.016929017198436,331.835,374.541,0.4199841526836695
1183,37.25179217154095,-10.190247012650957,330.56800000000004,372.264,0.7777721184832393
1182,24.78482708859454,-17.095493339428288,327.172,368.9978,0.9687909490082091
1181,27.821836500573582,-21.697318885029574,324.151,366.24699999999996,0.9801937190376385
1180,26.853456576160198,-25.68009025112707,320.437,363.57020000000006,0.977269204628669
1179,23.544606553456106,-29.137246275834457,315.81,360.6156,0.9652048143528432
1178,24.713797951395847,-31.764280240766652,310.50699999999995,357.3332,0.9490458776196828
1177,17.39298110296953,-33.032135566673446,305.856,354.00379999999996,0.9597173197022948
1176,19.524150465385247,-33.33951924860418,300.8675,350.37120000000004,0.9508167285941949
1175,19.97183098591549,-33.26342932135776,295.90099999999995,346.329,0.950869700090358
1174,20.380023541281304,-32.19055625218914,291.36199999999997,342.7156,0.9661125688494585
1173,24.632193855473815,-30.250834545550617,286.954,338.6254,0.9766015342350957
1172,30.606204746049343,-27.399590079716404,283.816,334.91339999999997,0.9956628245055565
1171,33.23162979913552,-23.344973018681458,280.47249999999997,332.1728,0.9969264057201621
1170,32.63583699560526,-20.40560098489425,277.0045,329.14619999999996,0.9981111587635971
1169,46.23929809665322,-18.10865023494813,273.63,325.9248,0.9979635488372366
1168,80.76923076923076,-11.61629679570325,272.71549999999996,323.7044,1.2540551566589222
1167,84.06977384031255,-3.2957771860873777,273.8805,322.4736,1.3209077943320384
1166,80.41899147278662,1.9779721056183348,274.6435,321.05559999999997,1.3289661582354506
1165,68.23277209593141,2.751217595067317,272.742,318.587,1.3945469637098353
1164,66.45787115577016,2.5981624361448326,270.52049999999997,315.8024,1.397824876776717
1163,66.43743199129489,2.865846714070017,271.65549999999996,312.8448,1.2344568243878695
1162,55.66115393250018,-0.25885474013756493,273.0725,309.54859999999996,1.1813862048541397
1161,58.47825320117112,-1.3463119508114119,274.956,307.0188,1.1952808898886957
1160,57.4424238041867,-2.0992050708458123,277.2835,305.0026,1.185390631531475
1159,53.7329504666188,-3.5578056056779133,279.446,302.8688,1.1886904792738096
1158,48.80588527969295,-5.868586017803636,281.008,300.3128,1.2095334578876067
1157,48.07137707281904,-6.421150887499778,283.048,298.9308,1.2210913576834368
1156,50.141171360312754,-6.36847492059502,285.15250000000003,297.9572,1.2212588219890275
1155,51.76992734170872,-5.76642423517859,287.6025,296.98060000000004,1.22062370474915
1154,39.39218394902187,-5.329530686944281,289.592,296.5726,1.2192014834139164
1153,31.415460642428528,-3.907012600014866,291.76149999999996,296.2814,1.2217042833734484
