Price,Adj Close,Close,High,Low,Open,Volume,RSI,MACD,SMA20,SMA50,Return_20D,Volatility
Ticker,AVGO,,AVGO,AVGO,AVGO,AVGO,,,,,,
Date,,,,,,,,,,,,
2018-01-02,21.053340911865234,26.701000213623047,26.75,25.756999969482422,25.976999282836914,33135000,,,,,,
2018-01-03,21.283580780029297,26.993000030517575,27.072999954223633,26.60300064086914,26.729000091552734,31161000,,,,,,
2018-01-04,21.290674209594727,27.00200080871582,27.176000595092773,26.843000411987305,27.159000396728516,19067000,,,,,,
2018-01-05,21.416833877563477,27.16200065612793,27.426000595092773,26.94499969482422,27.19700050354004,28633000,,,,,,
2018-01-08,21.46808433532715,27.226999282836918,27.2549991607666,26.9060001373291,27.091999053955078,20971000,,,,,,
2018-01-09,21.17082405090332,26.850000381469727,27.385000228881836,26.819000244140625,27.305999755859375,26027000,,,,,,
2018-01-10,20.723756790161133,26.28300094604492,26.61400032043457,26.072999954223633,26.597999572753906,31607000,,,,,,
2018-01-11,20.77658462524414,26.350000381469727,26.385000228881836,26.155000686645508,26.35700035095215,17726000,,,,,,
2018-01-12,20.8388671875,26.429000854492188,26.531999588012695,26.201000213623047,26.339000701904297,19881000,,,,,,
2018-01-16,20.756872177124023,26.325000762939453,26.700000762939453,26.166000366210938,26.51799964904785,33528000,,,,,,
2018-01-17,20.958724975585938,26.58099937438965,26.652999877929688,26.04599952697754,26.54800033569336,37365000,,,,,,
2018-01-18,21.27332878112793,26.979999542236328,27.006000518798828,26.447999954223633,26.54599952697754,30319000,58.54356781629871,,,,,
2018-01-19,21.00445556640625,26.638999938964844,26.944000244140625,26.60700035095215,26.915000915527344,29963000,48.35789416367395,,,,,
2018-01-22,20.66697883605957,26.211000442504883,26.677000045776367,26.062000274658203,26.565000534057617,27230000,39.150753745124646,,,,,
2018-01-23,20.729272842407227,26.290000915527344,26.44099998474121,25.81100082397461,26.173999786376953,35398000,41.3697188861137,,,,,
2018-01-24,20.253032684326172,25.68600082397461,26.32699966430664,25.600000381469727,26.097000122070312,45405000,31.81667006389631,,,,,
2018-01-25,19.498451232910156,24.72900009155273,25.784000396728516,24.700000762939453,25.77400016784668,59520000,22.823666146502063,,,,,
