Price,Adj Close,Close,High,Low,Open,Volume,RSI,MACD,SMA20,SMA50,Return_20D,Volatility
Ticker,AMD,,AMD,AMD,AMD,AMD,,,,,,
Date,,,,,,,,,,,,
2018-01-02,10.979999542236328,10.979999542236328,11.020000457763672,10.34000015258789,10.420000076293945,44146300,,,,,,
2018-01-03,11.550000190734863,11.550000190734863,12.140000343322754,11.359999656677246,11.609999656677246,154066700,,,,,,
2018-01-04,12.119999885559082,12.119999885559082,12.430000305175781,11.970000267028809,12.100000381469727,109503000,,,,,,
2018-01-05,11.880000114440918,11.880000114440918,12.220000267028809,11.65999984741211,12.1899995803833,63808900,,,,,,
2018-01-08,12.279999732971191,12.279999732971191,12.300000190734863,11.850000381469727,12.010000228881836,63346000,,,,,,
2018-01-09,11.819999694824219,11.81999969482422,12.020000457763672,11.710000038146973,12.0,62560900,,,,,,
2018-01-10,11.960000038146973,11.960000038146973,12.149999618530273,11.5600004196167,11.630000114440918,52561200,,,,,,
2018-01-11,12.140000343322754,12.140000343322754,12.1899995803833,11.899999618530273,12.069999694824219,38354900,,,,,,
2018-01-12,12.020000457763672,12.020000457763672,12.069999694824219,11.800000190734863,11.819999694824219,47149300,,,,,,
2018-01-16,11.90999984741211,11.90999984741211,12.199999809265137,11.800000190734863,12.050000190734863,42686600,,,,,,
2018-01-17,12.180000305175781,12.18000030517578,12.1899995803833,11.819999694824219,11.899999618530273,39020800,,,,,,
2018-01-18,12.470000267028809,12.470000267028809,12.680000305175781,12.149999618530273,12.180000305175781,62086200,71.78501504861809,,,,,
2018-01-19,12.59000015258789,12.59000015258789,12.880000114440918,12.539999961853027,12.5600004196167,46800700,73.3558502062531,,,,,
2018-01-22,12.649999618530273,12.649999618530272,12.739999771118164,12.369999885559082,12.609999656677246,34758600,74.13133977893939,,,,,
2018-01-23,12.9399995803833,12.9399995803833,13.0,12.760000228881836,12.819999694824219,46417200,77.53479282495496,,,,,
2018-01-24,12.710000038146973,12.710000038146973,13.050000190734863,12.600000381469727,13.020000457763672,41956400,69.70219227207521,,,,,
2018-01-25,12.40999984741211,12.40999984741211,12.9399995803833,12.319999694824219,12.779999732971191,42966600,61.0404314841522,,,,,
2018-01-26,12.949999809265137,12.949999809265137,12.949999809265137,12.619999885559082,12.699999809265137,44239000,68.60349763572209,,,,,
2018-01-29,13.319999694824219,13.31999969482422,13.470000267028809,13.050000190734863,13.130000114440918,66645400,72.53735546445847,,,,,
2018-01-30,12.869999885559082,12.869999885559082,13.270000457763672,12.6899995803833,13.119999885559082,91236400,62.31147228641446,,12.287499952316285,,,0.5496685208178855
2018-01-31,13.739999771118164,13.739999771118164,13.850000381469727,13.149999618530273,13.239999771118164,140977800,70.86348385749953,,12.425499963760377,,0.25136615154354547,0.5505926238285234
2018-02-01,13.25,13.25,13.84000015258789,13.210000038146973,13.619999885559082,67543300,62.290321559002216,,12.510499954223633,,0.14718612824169797,0.539429181757001
2018-02-02,12.449999809265137,12.449999809265137,13.0600004196167,12.430000305175781,13.050000190734863,79432600,51.364367148098815,,12.526999950408936,,0.027227716734490093,0.5318497001241198
2018-02-05,11.569999694824219,11.56999969482422,12.180000305175781,10.930000305175781,12.050000190734863,116568900,42.52770788935173,,12.511499929428101,,-0.026094311164178485,0.5556813577354073
2018-02-06,11.649999618530273,11.649999618530272,11.739999771118164,11.0,11.039999961853027,87123200,43.479675864527685,,12.479999923706055,,-0.051302942030967635,0.5864971437479846
2018-02-07,11.600000381469727,11.600000381469728,11.899999618530273,11.529999732971191,11.699999809265137,55758400,43.000280754430946,0.1218241594481988,12.46899995803833,,-0.018612463539303348,0.601400908414091
2018-02-08,11.220000267028809,11.220000267028809,11.850000381469727,11.210000038146973,11.720000267028809,56471800,39.44101498405896,0.024510694319143767,12.431999969482423,,-0.061872890364372934,0.6547605961367747
2018-02-09,11.3100004196167,11.3100004196167,11.569999694824219,10.630000114440918,11.539999961853027,85458200,40.693113366546804,-0.04483187381562992,12.39049997329712,,-0.06836901978858434,0.69904790669988
2018-02-12,11.680000305175781,11.68000030517578,11.800000190734863,11.430000305175781,11.470000267028809,63160900,45.666692553567245,-0.06913353178185666,12.373499965667724,,-0.028286201301122915,0.7125362935749945
2018-02-13,11.779999732971191,11.779999732971191,11.819999694824219,11.529999732971191,11.600000381469727,33661400,46.96129793299154,-0.07940828344941586,12.366999959945678,,-0.010915207061834242,0.7175622690261932
