Price,Adj Close,Close,High,Low,Open,Volume,RSI,MACD,SMA20,SMA50,Return_20D,Volatility
Ticker,MSFT,,MSFT,MSFT,MSFT,MSFT,,,,,,
Date,,,,,,,,,,,,
2018-01-02,78.69990539550781,85.94999694824219,86.30999755859375,85.5,86.12999725341797,22483800,,,,,,
2018-01-03,79.06614685058594,86.3499984741211,86.51000213623047,85.97000122070312,86.05999755859375,26061400,,,,,,
2018-01-04,79.76206970214844,87.11000061035156,87.66000366210938,86.56999969482422,86.58999633789062,21912000,,,,,,
2018-01-05,80.7509536743164,88.19000244140625,88.41000366210938,87.43000030517578,87.66000366210938,23407100,,,,,,
2018-01-08,80.8333511352539,88.27999877929688,88.58000183105469,87.5999984741211,88.19999694824219,22113000,,,,,,
2018-01-09,80.7784194946289,88.22000122070312,88.7300033569336,87.86000061035156,88.6500015258789,19484300,,,,,,
2018-01-10,80.41214752197266,87.81999969482422,88.19000244140625,87.41000366210938,87.86000061035156,18652200,,,,,,
2018-01-11,80.65021514892578,88.08000183105469,88.12999725341797,87.23999786376953,88.12999725341797,17808900,,,,,,
2018-01-12,82.04199981689453,89.5999984741211,89.77999877929688,88.44999694824219,88.66999816894531,24271500,,,,,,
2018-01-16,80.89745330810547,88.3499984741211,90.79000091552734,88.01000213623047,90.0999984741211,36599700,,,,,,
2018-01-17,82.53646087646484,90.13999938964844,90.27999877929688,88.75,89.08000183105469,25621200,,,,,,
2018-01-18,82.49984741210938,90.0999984741211,90.66999816894531,89.66000366210938,89.80000305175781,24159700,75.0281187248794,,,,,
2018-01-19,82.40827941894531,90.0,90.61000061035156,89.66000366210938,90.13999938964844,36875000,73.64548593822441,,,,,
2018-01-22,83.88249206542969,91.61000061035156,91.62000274658203,89.73999786376953,90.0,23601600,80.02721956554548,,,,,
2018-01-23,84.14801788330078,91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,23412800,80.9232959144558,,,,,
2018-01-24,84.07477569580078,91.81999969482422,93.43000030517578,91.58000183105469,92.55000305175781,33277500,79.85887133079582,,,,,
2018-01-25,84.54173278808594,92.33000183105467,93.23999786376953,91.93000030517578,92.47000122070312,26383200,81.52702102784967,,,,,
2018-01-26,86.12581634521484,94.05999755859376,94.05999755859375,92.58000183105469,93.12000274658203,29172200,85.81792437893526,,,,,
2018-01-29,85.99758911132812,93.91999816894533,95.44999694824219,93.72000122070312,95.13999938964844,31569900,84.11517033466113,,,,,
2018-01-30,84.91715240478516,92.73999786376952,93.66000366210938,92.0999984741211,93.30000305175781,38635100,71.27798055655893,,89.82849960327148,,,2.433793281485785
2018-01-31,86.99568176269531,95.01000213623048,95.4000015258789,93.51000213623047,93.75,48756300,78.1776271095014,,90.2814998626709,,0.10541018626730247,2.515683918275973
2018-02-01,86.30892944335938,94.26000213623048,96.06999969482422,93.58000183105469,94.79000091552734,47227900,72.0216863737586,,90.67700004577637,,0.09160398149259952,2.4866804678293497
2018-02-02,84.03813171386719,91.77999877929688,93.97000122070312,91.5,93.63999938964844,47867800,56.24909154398962,,90.91049995422364,,0.05361035628772992,2.3495877837962356
2018-02-05,80.57697296142578,88.0,93.23999786376953,88.0,90.55999755859375,51031500,41.37571816945893,,90.90099983215332,,-0.002154466902668295,2.361520368226554
2018-02-06,83.6260986328125,91.33000183105467,91.4800033569336,85.25,86.88999938964844,67998600,53.132820148151474,,91.05349998474121,,0.03454919680484947,2.2804438719206583
2018-02-07,82.05117797851562,89.61000061035156,91.7699966430664,89.19999694824219,90.48999786376953,41107600,47.80041230467937,0.9131699278678695,91.12299995422363,,0.015756057247959365,2.2096252491212183
2018-02-08,77.83920288085938,85.01000213623047,89.87999725341797,84.76000213623047,89.70999908447266,55628700,37.08186985919018,0.34421171409849194,90.98250007629395,,-0.031997239448400494,2.5008478392311733
2018-02-09,80.74179077148438,88.18000030517578,88.93000030517578,83.83000183105469,86.30000305175781,63499100,46.05849617423662,0.14740143799450323,90.9875,,0.0011353141694172564,2.4948322093512925
2018-02-12,81.61165618896484,89.12999725341797,89.77999877929688,87.93000030517578,88.73999786376953,35720300,48.432917490400705,0.06730879659906464,90.96399993896485,,-0.005245549427535745,2.5107524371808996
2018-02-13,82.25261688232422,89.83000183105469,90.0,87.80000305175781,88.93000030517578,26407700,50.17336002181019,0.059631920826092255,91.03800010681152,,0.01675159459529718,2.4507475311691143
2018-02-14,83.54054260253906,90.80999755859376,90.98999786376953,88.41000366210938,88.51000213623047,34960900,52.58604856855704,0.13111400586947752,91.07150001525879,,0.00743286192014625,2.4423914161690363
2018-02-15,85.24246215820312,92.66000366210938,92.72000122070312,90.62000274658203,91.20999908447266,27823900,56.83520754656066,0.3332031462167322,91.1995002746582,,0.02841293264531597,2.455842529124183
2018-02-16,84.63529205322266,92.0,93.5,91.80000305175781,92.44999694824219,30596900,54.94342832199583,0.4350880421471288,91.2995002746582,,0.022222222222222143,2.445124977223623
2018-02-20,85.29766082763672,92.72000122070312,93.05999755859375,91.01000213623047,91.4800033569336,30911700,56.639028961479745,0.5673901173378937,91.35500030517578,,0.012116587741034746,2.4650599901114134
2018-02-21,84.16610717773438,91.48999786376952,93.36000061035156,91.48999786376953,92.9800033569336,26922500,52.97156401582486,0.5664596792010457,91.33450012207031,,-0.004461410830270074,2.4619919962483174
2018-02-22,84.38690948486328,91.7300033569336,92.7300033569336,91.36000061035156,92.05000305175781,24392800,53.60287136519993,0.5784210598396555,91.33000030517579,,-0.0009801387300124587,2.461140035460953
2018-02-23,86.53038024902344,94.05999755859376,94.06999969482422,92.36000061035156,93.5999984741211,26329200,59.313097178276415,0.7670693022406425,91.41650009155273,,0.018737091879458934,2.5276391408405177
2018-02-26,87.78150177001953,95.41999816894533,95.44999694824219,94.25,94.4000015258789,30199800,62.23471803746264,1.0146191784262584,91.48450012207032,,0.014458862913582005,2.6191367683415825
2018-02-27,86.6591796875,94.1999969482422,95.83999633789062,94.19999694824219,95.73999786376953,25869100,58.19752438997657,1.0996838652001912,91.49850006103516,,0.0029812477082165056,2.6335489675490455
2018-02-28,86.26359558105469,93.7699966430664,95.70999908447266,93.62999725341797,94.83999633789062,31167300,56.79896642860678,1.1194959588102051,91.55,,0.011106305833755936,2.6689378744797
2018-03-01,85.41724395751953,92.8499984741211,94.56999969482422,91.83999633789062,93.98999786376953,37135600,53.81897988469578,1.0488702983459461,91.44199981689454,,-0.0227344870386621,2.563164764995694
2018-03-02,85.60124969482422,93.0500030517578,93.1500015258789,90.86000061035156,91.58000183105469,32830400,54.37934748750859,0.9975386469293284,91.38149986267089,,-0.012836824284428894,2.5068095794006218
2018-03-05,86.14398193359375,93.63999938964844,94.2699966430664,92.26000213623047,92.33999633789062,23901600,56.07266506279188,0.9930188142616743,91.47449989318848,,0.020265860046744022,2.5563834414368753
2018-03-06,85.84959411621094,93.31999969482422,94.48999786376953,92.94000244140625,94.33999633789062,22175800,54.88279892182332,0.9526341399148635,91.7404998779297,,0.06045454198663891,2.4504073760759937
